id,model,temperature,n_vers,struct,hendec,avg_syl,rhymes,incorr,plagiar
0,1_1_256_512_4_0_150,0.5,100,1.0,0.87,0.65,0.891,-0.44,-1
1,1_1_256_512_4_0_150,0.6,100,1.0,0.9,0.81,0.891,-0.43,-1
2,1_1_256_512_4_0_150,0.7,100,1.0,0.9,0.7,0.875,-0.45,-1
3,1_1_256_512_4_0_150,0.8,100,1.0,0.92,0.9,0.828,-0.32,-1
4,1_1_256_512_4_0_150,0.9,100,1.0,0.9,0.81,0.891,-0.51,-1
5,1_1_256_512_4_0_150,1.0,100,1.0,0.86,0.56,0.859,-0.46,-1
6,1_1_256_512_4_0_150,1.1,100,1.0,0.87,0.62,0.844,-0.46,-1
7,1_1_256_512_4_0_150,1.2,100,1.0,0.81,0.49,0.797,-0.58,-1
8,1_1_256_512_4_0_150,1.3,100,1.0,0.83,0.66,0.859,-0.66,-1
9,1_1_256_512_4_0_150,1.4,100,1.0,0.92,0.61,0.859,-0.6,-1
10,1_1_256_512_4_0_150,1.5,100,1.0,0.86,0.63,0.797,-0.58,-1
11,1_3_256_512_4_0_150,0.5,100,1.0,0.91,0.59,0.938,-0.41,-1
12,1_3_256_512_4_0_150,0.6,100,1.0,0.84,0.48,0.859,-0.5,-1
13,1_3_256_512_4_0_150,0.7,100,1.0,0.8,0.42,0.938,-0.48,-1
14,1_3_256_512_4_0_150,0.8,100,1.0,0.88,0.42,0.953,-0.45,-1
15,1_3_256_512_4_0_150,0.9,100,1.0,0.88,0.45,0.875,-0.54,-1
16,1_3_256_512_4_0_150,1.0,100,1.0,0.8,0.57,0.844,-0.41,-1
17,1_3_256_512_4_0_150,1.1,100,1.0,0.87,0.47,0.922,-0.45,-1
18,1_3_256_512_4_0_150,1.2,100,1.0,0.88,0.61,0.906,-0.43,-1
19,1_3_256_512_4_0_150,1.3,100,1.0,0.83,0.54,0.828,-0.56,-1
20,1_3_256_512_4_0_150,1.4,100,1.0,0.79,0.61,0.812,-0.59,-1
21,1_3_256_512_4_0_150,1.5,100,1.0,0.87,0.76,0.875,-0.72,-1
22,1_5_256_512_4_0_150,0.5,100,1.0,0.93,0.67,0.891,-0.46,-1
23,1_5_256_512_4_0_150,0.6,100,1.0,0.92,0.58,0.922,-0.4,-1
24,1_5_256_512_4_0_150,0.7,100,1.0,0.9,0.64,0.859,-0.46,-1
25,1_5_256_512_4_0_150,0.8,100,1.0,0.93,0.62,0.969,-0.42,-1
26,1_5_256_512_4_0_150,0.9,100,1.0,0.9,0.51,0.844,-0.46,-1
27,1_5_256_512_4_0_150,1.0,100,1.0,0.89,0.66,0.875,-0.44,-1
28,1_5_256_512_4_0_150,1.1,100,1.0,0.86,0.5,0.844,-0.5,-1
29,1_5_256_512_4_0_150,1.2,100,1.0,0.89,0.54,0.844,-0.44,-1
30,1_5_256_512_4_0_150,1.3,100,1.0,0.86,0.64,0.781,-0.48,-1
31,1_5_256_512_4_0_150,1.4,100,1.0,0.87,0.65,0.891,-0.58,-1
32,1_5_256_512_4_0_150,1.5,100,1.0,0.86,0.46,0.844,-0.66,-1
33,1_7_256_512_4_0_150,0.5,100,1.0,0.95,0.62,0.938,-0.48,-1
34,1_7_256_512_4_0_150,0.6,100,1.0,0.9,0.63,0.891,-0.42,-1
35,1_7_256_512_4_0_150,0.7,100,1.0,0.93,0.64,0.812,-0.39,-1
36,1_7_256_512_4_0_150,0.8,100,1.0,0.9,0.5,0.984,-0.55,-1
37,1_7_256_512_4_0_150,0.9,100,1.0,0.97,0.68,0.75,-0.51,-1
38,1_7_256_512_4_0_150,1.0,100,1.0,0.92,0.54,0.906,-0.45,-1
39,1_7_256_512_4_0_150,1.1,100,1.0,0.91,0.42,0.953,-0.51,-1
40,1_7_256_512_4_0_150,1.2,100,1.0,0.91,0.62,0.891,-0.47,-1
41,1_7_256_512_4_0_150,1.3,100,1.0,0.81,0.36,0.75,-0.65,-1
42,1_7_256_512_4_0_150,1.4,100,1.0,0.84,0.41,0.891,-0.58,-1
43,1_7_256_512_4_0_150,1.5,100,1.0,0.82,0.25,0.859,-0.63,-1
44,3_1_256_512_4_0_150,0.5,100,0.02,1.0,0.24,0.938,-0.22,-1
45,3_1_256_512_4_0_150,0.6,100,1.0,0.83,0.67,0.859,-0.43,-1
46,3_1_256_512_4_0_150,0.7,100,0.271,0.9,0.57,0.562,-0.36,-1
47,3_1_256_512_4_0_150,0.8,100,1.0,0.79,0.49,0.75,-0.45,-1
48,3_1_256_512_4_0_150,0.9,100,0.619,0.79,0.58,0.797,-0.37,-1
49,3_1_256_512_4_0_150,1.0,100,1.0,0.83,0.6,0.844,-0.44,-1
50,3_1_256_512_4_0_150,1.1,100,0.254,0.96,0.58,0.953,-0.45,-1
51,3_1_256_512_4_0_150,1.2,100,1.0,0.78,0.39,0.781,-0.46,-1
52,3_1_256_512_4_0_150,1.3,100,0.078,0.53,0.19,0.812,-0.52,-1
53,3_1_256_512_4_0_150,1.4,100,1.0,0.79,0.24,0.906,-0.6,-1
54,3_1_256_512_4_0_150,1.5,100,1.0,0.76,0.18,0.875,-0.58,-1
55,3_3_256_512_4_0_150,0.5,100,1.0,0.89,0.45,0.859,-0.45,-1
