word,hyphenation,tune
abaglia,a-ba-glia,
abaier,a-ba-ier,
abandonarmi,a-ban-do-nar-mi,
abandonato,a-ban-do-na-to,
abandono,a-ban-dó-no,"[False, False, True, False]"
abate,a-bà-te,"[False, True, False]"
abatt,a-bat-t,
abatte,a-bat-te,
abatter,a-bat-ter,
abattuto,a-bat-tu-to,
abbaglia,ab-ba-glia,
abbandon,ab-ban-don,
abbandona,ab-ban-do-na,
abbandonai,ab-ban-do-na-i,
abbandonar,ab-ban-do-nar,
abbandonare,ab-ban-do-nà-re,"[False, False, False, True, False]"
abbandonata,ab-ban-do-na-ta,
abbandonati,ab-ban-do-na-ti,
abbandonato,ab-ban-do-nà-to,"[False, False, False, True, False]"
abbarbaglio,ab-bar-bà-glio,"[False, False, True, False]"
abbarbicata,ab-bar-bi-ca-ta,
abbatte,ab-bat-te,
abbattera,ab-bat-te-ra,
abbi,ab-bi,
abbia,ab-bia,
abbiamo,ab-bia-mo,
abbian,ab-bian,
abbie,ab-bie,
abbn,ab-bn,
abbondante,ab-bon-dàn-te,"[False, False, True, False]"
abborra,ab-bor-ra,
abborri,ab-bor-ri,
abbraccia,ab-bràc-cia,"[False, True, False]"
abbracciar,ab-brac-ciar,
abbracciarmi,ab-brac-ciar-mi,
abbracciava,ab-brac-cia-va,
abbracciol,ab-brac-ciol,
abbracciommi,ab-brac-ciom-mi,
abbruscia,ab-bru-scia,
abbrusciato,ab-bru-scia-to,
abellendo,a-bel-len-do,
abencelar,a-ben-ce-lar,
abete,a-bé-te,"[False, True, False]"
abido,a-bi-do,
abisso,a-bìs-so,"[False, True, False]"
abitator,a-bi-ta-tor,
abito,à-bi-to,"[True, False, False]"
abituati,a-bi-tua-ti,
aborre,a-bor-re,
abraam,a-bra-am,
acan,a-can,
acapelli,a-ca-pel-li,
accaffi,ac-caf-fi,
accampa,ac-cam-pa,
accarno,ac-car-no,
accatta,ac-càt-ta,"[False, True, False]"
acceffa,ac-cef-fa,
accenda,ac-cen-da,
accende,ac-cen-de,
accender,ac-cen-der,
accennando,ac-cen-nan-do,
accennolle,ac-cen-nol-le,
accenti,ac-cen-ti,
accerta,ac-cer-ta,
accertar,ac-cer-tar,
accertarsi,ac-cer-tar-si,
accesa,ac-ce-sa,
accese,ac-ce-se,
accesi,ac-ce-si,
acceso,ac-cé-so,"[False, True, False]"
accetta,ac-cét-ta,"[False, True, False]"
accettato,ac-cet-tà-to,"[False, False, True, False]"
accetto,ac-cèt-to,"[False, True, False]"
acci,ac-ci,
accidenti,ac-ci-den-ti,
accidioso,ac-ci-dió-so,"[False, False, True, False]"
accline,ac-clì-ne,"[False, True, False]"
accoglie,ac-co-glie,
accoglitor,ac-co-gli-tor,
accolo,ac-co-lo,
accolta,ac-còl-ta,"[False, True, False]"
accolte,ac-col-te,
accolti,ac-col-ti,
accolto,ac-còl-to,"[False, True, False]"
accompagnata,ac-com-pa-gna-ta,
accora,ac-co-ra,
accorciavan,ac-cor-cia-van,
accordanza,ac-cor-dàn-za,"[False, False, True, False]"
accordiamo,ac-cor-dia-mo,
accorger,ac-cor-ger,
accorgimenti,ac-cor-gi-men-ti,
accorgimento,ac-cor-gi-mén-to,"[False, False, False, True, False]"
accorri,ac-cor-ri,
accorta,ac-cor-ta,
accorte,ac-cor-te,
accorti,ac-cor-ti,
accorto,ac-còr-to,"[False, True, False]"
accostarsi,ac-co-star-si,
accostati,ac-co-sta-ti,
accumulando,ac-cu-mu-lan-do,
accusa,ac-cù-sa,"[False, True, False]"
accusai,ac-cu-sa-i,
accuse,ac-cu-se,
accusiam,ac-cu-siam,
acerba,a-cer-ba,
acerbe,a-cer-be,
acerbo,a-cèr-bo,"[False, True, False]"
acheronte,a-che-rón-te,"[False, False, True, False]"
achille,A-chìl-le,"[False, True, False]"
achitofel,a-chi-to-fel,
acomandata,a-co-man-da-ta,
acomandato,a-co-man-da-to,
acomande,a-co-man-de,
acompirmi,a-com-pir-mi,
aconsenta,a-con-sen-ta,
aconsentente,a-con-sen-ten-te,
acontar,a-con-tar,
acorando,a-co-ran-do,
acordamento,a-cor-da-men-to,
acordo,a-cor-do,
acorgimento,a-cor-gi-men-to,
acorto,a-cor-to,
acqua,àc-qua,"[True, False]"
acquacheta,ac-qua-che-ta,
acque,ac-que,
acquist,ac-qui-st,
acquista,ac-qui-sta,
acquistan,ac-qui-stan,
acquistando,ac-qui-stan-do,
acquistar,ac-qui-star,
acquistavan,ac-qui-sta-van,
acquisti,ac-qui-sti,
acquisto,ac-quì-sto,"[False, True, False]"
acra,à-cra,"[True, False]"
acri,ACRI,[False]
acro,à-cro,"[True, False]"
acrocando,a-cro-can-do,
acume,a-cù-me,"[False, True, False]"
acuta,a-cu-ta,
acutamente,a-cu-ta-mén-te,"[False, False, False, True, False]"
acute,a-cu-te,
acuto,a-cù-to,"[False, True, False]"
ada,a-da,
adamante,a-da-màn-te,"[False, False, True, False]"
adamo,A-dà-mo,"[False, True, False]"
adato,a-da-to,
addemmo,ad-dem-mo,
addent,ad-den-t,
addimand,ad-di-man-d,
addio,ad-dì-o,"[False, True, False]"
addit,ad-dit,
addita,ad-di-ta,
additalo,ad-di-ta-lo,
additandomi,ad-di-tan-do-mi,
addivene,ad-di-ve-ne,
addivenne,ad-di-ven-ne,
addivien,ad-di-vien,
addobbi,ad-dob-bi,
addolcia,ad-dol-cia,
addolcisce,ad-dol-ci-sce,
addorna,ad-dor-na,
addornamento,ad-dor-na-men-to,
addorno,ad-dor-no,
addossandosi,ad-dos-san-do-si,
addotto,ad-dót-to,"[False, True, False]"
adduce,ad-du-ce,
addur,ad-dur,
addusse,ad-dus-se,
adempie,a-dem-pie,
adenti,a-den-ti,
adesso,a-dès-so,"[False, True, False]"
adetto,a-det-to,
adhaesit,a-dha-e-sit,
adice,a-di-ce,
adietro,a-die-tro,
adima,a-di-ma,
adio,a-dì-o,"[False, True, False]"
adir,a-dir,
adirar,a-di-rar,
adirata,a-di-ra-ta,
adirizzata,a-di-riz-za-ta,
adocchia,a-doc-chia,
adocchiato,a-doc-chià-to,"[False, False, True, False]"
adolzito,a-dol-zi-to,
adona,a-do-na,
adontata,a-don-ta-ta,
adoperare,a-do-pe-rà-re,"[False, False, False, True, False]"
adopra,a-do-pra,
adora,a-do-ra,
adorando,a-do-ran-do,
adorar,a-do-rar,
adorare,a-do-rà-re,"[False, False, True, False]"
adorna,a-dor-na,
adornamento,a-dor-na-mén-to,"[False, False, False, True, False]"
adornata,a-dor-na-ta,
adornezza,a-dor-néz-za,"[False, False, True, False]"
adosso,a-dòs-so,"[False, True, False]"
adovra,a-do-vra,
adrezza,a-drez-za,
adriano,a-dri-à-no,"[False, False, True, False]"
aduggia,a-dug-gia,
adulto,a-dùl-to,"[False, True, False]"
aduna,a-du-na,
adunar,a-du-nar,
adunate,a-du-na-te,
adunati,a-du-na-ti,
aduni,a-du-ni,
aduno,a-du-no,
adunque,a-dùn-que,"[False, True, False]"
aegypto,a-e-gypto,
aere,à-e-re,"[True, False, False]"
afenda,a-fen-da,
afettata,a-fet-ta-ta,
affama,af-fa-ma,
affannata,af-fan-na-ta,
affannate,af-fan-na-te,
affanni,af-fan-ni,
affanno,af-fàn-no,"[False, True, False]"
affano,af-fa-no,
affar,af-far,
affare,af-fà-re,"[False, True, False]"
affatica,af-fa-ti-ca,
affaticarne,af-fa-ti-car-ne,
affattura,af-fat-tu-ra,
affede,af-fe-de,
afferma,af-fer-ma,
affermando,af-fer-man-do,
afferra,af-fer-ra,
affetti,af-fet-ti,
affetto,af-fèt-to,"[False, True, False]"
affezion,af-fe-zion,
affibbia,af-fib-bia,
affiggono,af-fig-go-no,
affiguro,af-fi-gu-ro,
affina,af-fi-na,
affissi,af-fis-si,
afflitto,af-flìt-to,"[False, True, False]"
affoca,af-fo-ca,
affocate,af-fo-ca-te,
affollore,af-fol-lo-re,
affonde,af-fon-de,
affranse,af-fran-se,
affranto,af-fràn-to,"[False, True, False]"
affreno,af-fre-no,
affricano,af-fri-cà-no,"[False, False, True, False]"
affuoca,af-fuo-ca,
afidermmi,a-fi-der-mmi,
afinare,a-fi-na-re,
afogava,a-fo-ga-va,
afondo,a-fon-do,
afranchezza,a-fran-chez-za,
afrizione,a-fri-zio-ne,
agapito,A-gà-pi-to,"[False, True, False, False]"
agatone,a-ga-to-ne,
agevole,a-gé-vo-le,"[False, True, False, False]"
agevolemente,a-ge-vo-le-mén-te,"[False, False, False, False, True, False]"
agevolezze,a-ge-vo-lez-ze,
agghiaccia,ag-ghiac-cia,
aggi,ag-gi,
aggia,ag-gia,
aggiate,ag-gia-te,
aggie,ag-gie,
aggiorno,ag-gior-no,
aggirammo,ag-gi-ram-mo,
aggirata,ag-gi-rà-ta,"[False, False, True, False]"
aggiunsi,ag-giun-si,
aggiunto,ag-giùn-to,"[False, True, False]"
aggrappossi,ag-grap-pos-si,
aggrati,ag-gra-ti,
aggrava,ag-gra-va,
aggroppata,ag-grop-pa-ta,
aggroppate,ag-grop-pa-te,
agguati,ag-gua-ti,
agi,AGI,[False]
agiata,a-gia-ta,
agio,à-gio,"[True, False]"
aglauro,a-gla-u-ro,
agli,à-gli,"[True, False]"
aglio,à-glio,"[True, False]"
agnel,a-gnel,
agnello,a-gnèl-lo,"[False, True, False]"
agni,à-gni,"[True, False]"
agno,à-gno,"[True, False]"
agnol,a-gnol,
agnus,a-gnus,
agogna,a-go-gna,
agosta,a-go-sta,
agra,à-gra,"[True, False]"
agrada,a-gra-da,
agresta,a-grè-sta,"[False, True, False]"
agro,à-gro,"[True, False]"
agrume,a-grù-me,"[False, True, False]"
aguglia,a-gù-glia,"[False, True, False]"
aguglier,a-gu-glier,
agurarsi,a-gu-rar-si,
aguta,a-gu-ta,
agute,a-gu-te,
aguti,a-gù-ti,"[False, True, False]"
aguto,a-gù-to,"[False, True, False]"
aguzza,a-guz-za,
aguzzavan,a-guz-za-van,
aguzzeranno,a-guz-ze-ran-no,
